date,die_number,production_number,pressing_type,billet_size,billet_length,billet_quantity
ì˙ït,å^î‘,ïiî‘,éÌï ,ÉrÉåÉbÉgÉTÉCÉY,ÉrÉåÉbÉgí∑Ç≥,ÉrÉåÉbÉgêî
2021-05-18,MXS20TB-V01D,P3800502-M-2,ÅZ,9,1200,2
2021-05-18,MXS25TB-V01D,P3800602-M-2,ÅZ,9,1200,2
2021-05-21,DXT155M-V01D,DXT155-38-1,ÅZ,9,1200,2
2021-05-25,SY30M-V01B,SY3000-20-1,ÅZ,9,1200,1
2021-05-28,DXT192M1-V01D,DXT192-11-3,ÅZ,9,600,1
2021-06-01,VV14M1-V01D,DXT199-20-23,ÅZ,9,1200,1
2021-06-03,VV15M1-V01D,DXT201-13-13,ÅZ,9,1200,1
2021-06-03,APT4-V01B,APTE00-98000565-D,ÅZ,9,1200,1
2021-06-03,APT6-V01B,APTE00-96000150-D,ÅZ,9,1200,1
2021-06-05,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-06-05,SY50MP-V01D,SY50M-20-E-1,ÅZ,9,1200,2
2021-06-05,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-06-08,SY70M-V01B,SY7000-20-1,ÅZ,9,1200,2
2021-06-08,VJ30M1-V01D,VJ3000-20-1,ÅZ,9,1200,1
2021-06-10,XLA16B2-V01B,XLA16-1B-S,ÅZ,9,1200,1
2021-06-10,XLA40B2-V01B,XLA40-1B-S,ÅZ,9,1200,4
2021-06-11,SY30M-V01B,SY3000-20-1,ÅZ,9,1200,1
2021-06-11,XLA16BN-V01B,XLA16-3-1B,ÅZ,9,1200,1
2021-06-14,MHY20B-V01D,P3319301-M,ÅZ,9,1200,1
2021-06-15,DXT192M1-V01D,DXT192-11-3,Åù,9,600,5
2021-06-15,VV10M1-V01B,DXT156-10-11,ÅZ,9,1200,1
2021-06-15,VV14M1-V01D,DXT199-20-23,ÅZ,9,1200,5
2021-06-17,VV15M1-V01D,DXT201-13-13,ÅZ,9,1200,2
2021-06-17,DXT155M-V01D,DXT155-38-1,ÅZ,9,1200,5
2021-06-17,MHY25B-V01D,P3319401-M,ÅZ,9,1200,1
2021-06-18,SY30M-V01B,SY3000-20-1,ÅZ,9,1200,1
2021-06-18,VV15M1-V01D,DXT201-13-13,ÅZ,9,1200,3
2021-06-22,SY30M-V01B,SY3000-20-1,ÅZ,9,1200,4
2021-06-23,MHY10B-V01D,P3319101-M,ÅZ,9,600,1
2021-06-23,MHY16B-V01D,P3319201-M,ÅZ,9,600,1
2021-06-24,VJ10M-V01D,VJ100-16-7,ÅZ,9,600,3
2021-06-24,XLA25B2-V01B,XLA25-1B-S,Åù,9,1200,6
2021-06-25,SY30M-V01B,SY3000-20-1,ÅZ,9,1200,1
2021-06-25,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-06-26,MHY20B-V01D,P3319301-M,ÅZ,9,1200,1
