押出日,押出時間[h],金型番号,品番,単重[kg/m],製品長さ[m],製品重量[kg],ディスカード厚,ディスカード重量,押出種別,計画ビレット数,実績ビレット数,投入ビレット長[mm],ビレットサイズ,切断数,不良数,良品数,寸法チェック完了日,エッチング完了日,時効完了日,梱包完了日,成形不良,ダイスマーク,内面フクレ,磕碰伤不良,粗さ不良,真円度不良,寸法不良,曲がり不良,ねじれ不良,硬度不足,エッチング不良,裂纹不良,粘铝不良,押出振動による不良,内径ダイスマーク,表面坑,外面フクレ異常,型材表面黒線,エッチング巻込不良,浸蚀边部裂纹不良,拉伤不良,粘毛毡不良,停机痕不良,卷裂不良,其他不良
press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
2021-07-21,0.02,VV10M1-V01B,DXT156-10-11,3.33,2,6.66,25,2.98,◎,3,3,1200,9,51,0,51,,,2021-08-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-21,0.00,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,0.42,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,600,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,0.50,MYB20H1-V01D,MYB20LAA7164-20K,4.44,2,8.88,50,5.95,◎,5,5,1200,9,59,0,59,2021-08-06,,2021-08-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,1.75,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,●,15,15,1200,9,330,22,308,2021-08-04,,2021-07-28,2021-08-04,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,1.67,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,20,20,600,9,299,33,266,2021-07-27,2021-07-24,2021-08-07,2021-08-12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-07-19,0.42,VJ10M-V01D,VJ100-16-7,0.66,2,1.32,25,2.98,〇,1,1,600,9,38,0,38,2021-08-23,,2021-07-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-19,0.75,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,◎,5,5,1200,9,85,5,80,2021-07-23,2021-07-19,2021-07-23,2021-08-13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-17,1.67,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,20,20,1200,9,279,16,263,2021-07-23,,2021-07-23,2021-07-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-07-16,0.50,APT4-V01B,APTE00-98000565-D,3.06,3,9.18,35,4.17,◎,5,5,1200,9,94,94,0,2021-07-17,,,,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,0.58,XLA16B2-V01B,XLA16-1B-S,4.85,2,9.7,35,4.17,◎,5,5,1200,9,59,0,59,2021-07-24,,2021-08-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,0.75,XLA16BN-V01B,XLA16-3-1B,3.68,2,7.36,35,4.17,〇,5,5,1200,9,74,0,74,2021-07-24,,2021-08-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-15,0.33,SY70M-V01B,SY7000-20-1,6.22,2,12.44,35,4.17,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-15,0.33,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,80,9.52,〇,2,2,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,0.50,APT6-V01B,APTE00-96000150-D,4.31,3,12.93,35,4.17,◎,5,5,1200,9,60,60,0,2021-07-16,,,,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,3.33,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,50,5.95,●,15,17,1200,9,376,0,376,2021-07-14,2021-07-14,2021-07-19,2021-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,1.92,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,●,20,15,1200,9,330,27,303,2021-07-21,2021-07-21,2021-07-23,2021-08-04,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-13,0.38,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,0.25,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,25,2.98,●,1,1,1200,9,15,,,2021-07-19,,2021-07-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-13,0.50,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,20,3,600,9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-12,0.75,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,〇,20,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.33,MHY20B-V01D,P3319301-M,2.95,2,5.9,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.25,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.25,MHY25B-V01D,P3319401-M,4.18,2,8.36,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.42,MXS20TB-V01D,P3800502-M-2,2.64,2,5.28,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.25,VV10M1-V01B,DXT156-10-11,3.33,2,6.66,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,0.33,CQ63T-V02C,C2Q63-04-J0782AK,5.53,2,11.06,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,0.33,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,0.25,SY70M-V01B,SY7000-20-1,6.22,2,12.44,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,0.42,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,80,9.52,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,1.00,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,50,5.95,●,20,20,1200,9,439,13,426,,2021-07-09,2021-07-14,2021-07-23,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-08,0.50,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,◎,7,6,600,9,82,3,79,2021-08-09,2021-07-09,2021-07-14,2021-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-07,0.58,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,10,13,600,9,192,21,171,2021-07-16,,2021-07-14,2021-07-16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-07-07,0.42,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,5,5,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,0.42,MHY10B-V01D,P3319101-M,1.02,2,2.04,25,2.98,〇,5,2,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,0.58,MHY16B-V01D,P3319201-M,1.73,2,3.46,35,4.17,〇,5,5,600,9,79,0,79,2021-07-08,,2021-07-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-06,0.25,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-05,0.50,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,●,10,2,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-05,0.58,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,◎,5,5,1200,9,84,84,0,2021-08-09,2021-07-06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
2021-07-05,0.25,VV10M1-V01B,DXT156-10-11,3.33,2,6.66,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,0.50,MXS06TB-V01D,P3800102-M-1,0.44,2,0.88,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,0.25,MXS16TB-V01D,P3800402-M-2,1.46,2,2.92,35,4.17,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,0.83,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,50,5.95,◎,6,6,1200,9,41,7,34,2021-07-02,2021-07-01,2021-07-08,2021-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-07-01,0.67,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,50,5.95,〇,10,3,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,0.75,MXS12TB-V01D,P3800302-M-1,1,2,2,25,2.98,◎,1,5,600,9,130,,,2021-07-04,,2021-07-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,0.67,MXS25TB-V01D,P3800602-M-2,4.22,2,8.44,35,4.17,◎,5,5,1200,9,65,,,2021-07-07,,2021-07-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,0.67,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,〇,5,4,600,9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,0.58,XLA25BN-V01D,XLA25-3-1B,5.87,2,11.74,35,4.17,◎,5,6,1200,9,53,3,50,2021-07-03,,2021-08-05,2021-08-19,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,0.25,MYB16H-V01D,MYB16LAA7163-20K,2.98,2,5.96,35,4.17,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,0.25,MSQ30B2-V01D,P6260301-D,5.19,2.07,10.743,80,9.52,〇,2,2,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-26,0.25,MHY20B-V01D,P3319301-M,2.95,2,5.9,35,4.17,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-26,0.25,MHY25B-V01D,P3319401-M,4.18,2,8.36,35,4.17,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-25,0.25,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-25,0.17,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,0.83,VJ10M-V01D,VJ100-16-7,0.66,2,1.32,25,2.98,〇,5,3,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,0.33,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,80,9.52,◎,6,6,1200,9,14,3,11,2021-06-28,2021-08-24,2021-07-08,2021-08-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-06-23,0.50,MHY10B-V01D,P3319101-M,1.02,2,2.04,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,0.33,MHY16B-V01D,P3319201-M,1.73,2,3.46,35,4.17,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,0.33,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,〇,4,4,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,0.33,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,0.50,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,25,2.98,〇,3,3,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17,0.58,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,25,2.98,〇,5,2,1200,9,77,36,41,2021-06-21,,2021-07-05,2021-07-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-06-17,0.75,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,〇,5,5,1200,9,115,27,88,2021-07-19,,2021-07-19,2021-07-23,0,0,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-17,0.17,MHY25B-V01D,P3319401-M,4.18,2,8.36,35,4.17,〇,1,1,1200,9,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,0.50,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,◎,5,5,600,9,74,10,64,2021-06-21,,2021-07-05,2021-07-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-06-15,0.17,VV10M1-V01B,DXT156-10-11,3.33,2,6.66,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15,1.00,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,50,5.95,〇,5,5,1200,9,109,,,2021-06-20,,2021-07-05,2021-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,0.42,MHY20B-V01D,P3319301-M,2.95,2,5.9,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,0.25,SY30M-V01B,SY3000-20-1,3.22,2,6.44,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,0.33,XLA16BN-V01B,XLA16-3-1B,3.68,2,7.36,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10,0.33,XLA16B2-V01B,XLA16-1B-S,4.85,2,9.7,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10,0.58,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,80,9.52,〇,4,4,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,0.25,SY70M-V01B,SY7000-20-1,6.22,2,12.44,35,4.17,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,0.42,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,0.25,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,0.42,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,0.33,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,0.17,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,0.17,APT4-V01B,APTE00-98000565-D,3.06,3,9.18,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,0.25,APT6-V01B,APTE00-96000150-D,4.31,3,12.93,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,0.00,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,80,9.52,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,0.00,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,〇,1,1,600,9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-25,0.25,SY30M-V01B,SY3000-20-1,3.22,2,6.44,80,9.52,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,0.50,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,25,2.98,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,0.50,MXS20TB-V01D,P3800502-M-2,2.64,2,5.28,35,4.17,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,0.33,MXS25TB-V01D,P3800602-M-2,4.22,2,8.44,35,4.17,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,0.00,MXS16TB-V01D,P3800402-M-2,1.46,2,2.92,35,4.17,〇,2,2,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,0.00,MXS12TB-V01D,P3800302-M-1,1,2,2,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,0.25,MSQ20B2-V01D,P6260201-D,4.66,2.075,9.669,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,0.25,MSQ30B2-V01D,P6260301-D,5.19,2.07,10.743,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,0.17,MSQ50B2-V01D,P6260401-D,6.76,2.03,13.723,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,0.17,CRQ30B-V01D,P4730004#1,4.08,2,8.16,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,0.17,CRQ40B-V01D,P4730005#2,4.95,2.15,10.643,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,0.25,MSQ10B2-V01D,P6260101-D,3.26,2.045,6.667,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,0.17,CRQ15B-V01C,P4730002#1,1.98,2.2,4.356,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,0.25,CRQ20B-V01D,P4730003#1,3.42,2.05,7.011,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,0.33,MXW16B-V01D,P3801001-M,3.31,2,6.62,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,0.33,MXW20B-V01D,P3801101-M,6.42,2,12.84,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,0.00,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,0.17,CUJ16A-V01D,CUJ16A-AD253-20K,1.52,2,3.04,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,0.00,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,2,2.14,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,0.00,CQ50T-V01B,C2Q50-04-J0781-K,4.8,2,9.6,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,0.00,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,1.00,XLA25BN-V01D,XLA25-3-1B,5.87,2,11.74,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,0.00,VJ10M-V01D,VJ100-16-7,0.66,2,1.32,,,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,0.00,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,0.00,VV14M1-V01D,DXT199-20-23,2.58,2,5.16,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,0.00,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,,,〇,1,1,600,9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-26,0.50,DXT155M-V01D,DXT155-38-1,2.43,2,4.86,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,0.33,MYB20H1-V01D,MYB20LAA7164-20K,4.44,2,8.88,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,0.50,MYB16H-V01D,MYB16LAA7163-20K,2.98,2,5.96,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,0.50,MHY20B-V01D,P3319301-M,2.95,2,5.9,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,0.33,MHY25B-V01D,P3319401-M,4.18,2,8.36,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,0.00,XLA16B2-V01B,XLA16-1B-S,4.85,2,9.7,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,0.33,XLA16BN-V01B,XLA16-3-1B,3.68,2,7.36,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,0.50,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,0.50,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,0.00,SY50M-V01B,SY5000-20-1,4.44,2,8.88,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,0.33,VV10M1-V01B,DXT156-10-11,3.33,2,6.66,,,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,0.33,SY30M-V01B,SY3000-20-1,3.22,2,6.44,,,〇,5,5,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,0.67,CQ40T-V01B,C2Q40-04-J0780-K,3.08,2,6.16,,,〇,10,10,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,0.50,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,,,〇,6,6,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,0.50,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,,,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,1.00,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,,,〇,6,6,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,0.00,CQ32T-V01B,C2Q32-04-J0779-K,2.56,2,5.12,,,〇,10,10,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,0.67,CQ40T-V01B,C2Q40-04-J0780-K,3.08,2,6.16,,,〇,10,10,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,0.50,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,,,〇,8,8,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,0.33,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,,,〇,3,3,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,1.67,SY70M-V01B,SY7000-20-1,6.22,2,12.44,,,〇,8,8,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,0.50,MHY16B-V01D,P3319201-M,1.73,2,3.46,,,〇,3,3,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,0.67,CQ32T-V01B,C2Q32-04-J0779-K,2.56,2,5.12,,,〇,20,20,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
