押出日,押出時間[h],金型番号,品番,単重[kg/m],製品長さ[m],製品重量[kg],ディスカード厚,ディスカード重量,押出種別,計画ビレット数,実績ビレット数,投入ビレット長[mm],ビレットサイズ,切断数,不良数,良品数,寸法チェック完了日,エッチング完了日,時効完了日,梱包完了日,成形不良,ダイスマーク,内面フクレ,磕碰伤不良,粗さ不良,真円度不良,寸法不良,曲がり不良,ねじれ不良,硬度不足,エッチング不良,裂纹不良,粘铝不良,押出振動による不良,内径ダイスマーク,表面坑,外面フクレ異常,型材表面黒線,エッチング巻込不良,浸蚀边部裂纹不良,拉伤不良,粘毛毡不良,停机痕不良,卷裂不良,其他不良
press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
2021-08-25,1.83,MXS20TB-V01D,P3800502-M-2,2.64,2,5.28,35,4.17,●,10,10,1200,9,213,15,198,2021-08-28,2021-08-25,2021-08-28,2021-09-01,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,1.08,MYB16H-V01D,MYB16LAA7163-20K,2.98,2,5.96,35,4.17,◎,5,5,1200,9,99,1,98,2021-08-26,2021-08-24,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,0.33,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,2,2.14,35,4.17,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,0.75,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,11,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,0.33,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,0.58,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,50,5.95,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,1.33,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,10,10,1200,9,8,3,5,2021-08-24,2021-08-21,2021-08-24,2021-08-27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,1.17,MXS06TB-V01D,P3800102-M-1,0.44,2,0.88,25,2.98,◎,5,5,600,9,210,7,203,2021-08-24,2021-08-21,2021-08-24,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,0.42,MXS08TB-V01D,P3800202-M-1,0.7,2,1.4,25,2.98,◎,5,5,600,9,188,4,184,2021-08-24,2021-08-21,2021-08-24,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,0.97,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,20,8,1200,9,52,1,51,2021-08-24,2021-08-21,2021-08-24,2021-08-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,0.33,CQ50T-V01B,C2Q50-04-J0781-K,4.8,2,9.6,80,9.52,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19,0.13,CQ63T-V02C,C2Q63-04-J0782AK,5.53,2,11.06,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,0.33,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,2,2.14,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,0.33,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,2,4.44,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,0.30,CQ32T-V01B,C2Q32-04-J0779-K,2.56,2,5.12,35,4.17,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,0.22,CQ40T-V01B,C2Q40-04-J0780-K,3.08,2,6.16,80,9.52,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,0.75,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,5,3,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,0.25,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,0.58,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,0.33,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,50,5.95,〇,2,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,0.42,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,●,5,2,1200,9,34,1,33,2021-08-18,2021-08-17,2021-08-19,2021-08-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,1.75,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,20,24,1200,9,161,5,156,2021-08-27,2021-08-17,2021-08-19,2021-08-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,0.58,MXS16TB-V01D,P3800402-M-2,1.46,2,2.92,35,4.17,◎,5,5,600,9,90,2,88,2021-08-19,2021-08-13,2021-08-19,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,1.00,MXS20TB-V01D,P3800502-M-2,2.64,2,5.28,35,4.17,◎,5,5,1200,9,109,8,101,2021-08-19,2021-08-13,2021-08-19,2021-09-01,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,1.08,VJ10M-V01D,VJ100-16-7,0.66,2,1.32,25,2.98,◎,5,5,600,9,188,0,188,2021-08-19,2021-08-13,2021-08-19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,1.00,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,5,5,1200,9,,,,,2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
