date,die_number,production_number,specific_weight,discard_thickness,stretch_reatio,press_start,press_finish,press_type,billet_size,billet_length,billet_lot_no,plan_billet_input,actual_billet_input,actual_ram_speed,actual_die_temp,ok_works,1st_billet_work_length,2nd_billet_work_length,work_qty_from_1st_billet,work_qty_from_2nd_billet,total_ng_works,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,billet_No01_work_length,billet_No02_work_length,billet_No03_work_length,billet_No04_work_length,billet_No05_work_length,billet_No06_work_length,billet_No07_work_length,billet_No08_work_length,billet_No09_work_length,billet_No10_work_length,billet_No11_work_length,billet_No12_work_length,billet_No13_work_length,billet_No14_work_length,billet_No15_work_length,billet_No16_work_length,billet_No17_work_length,billet_No18_work_length,billet_No19_work_length,billet_No20_work_length
押出日,型番,品番,単重,ディスカード厚,ストレッチ,開始,終了,押出種別,ビレットサイズ,ビレット長さ,ビレット製造番号,計画ビレット数,実績ビレット数,ラム速（実測）,金型温度（実測）,良品数,1stビレット押出長さ,2ndビレット押出長さ,1stビレット製品数,2ndビレット製品数,総不良数,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,ビレット01本目製品長,ビレット02本目製品長,ビレット03本目製品長さ,ビレット04本目製品長,ビレット05本目製品長,ビレット06本目製品長さ,ビレット07本目製品長,ビレット08本目製品長,ビレット09本目製品長さ,ビレット10本目製品長,ビレット11本目製品長,ビレット12本目製品長さ,ビレット13本目製品長,ビレット14本目製品長,ビレット15本目製品長さ,ビレット16本目製品長,ビレット17本目製品長,ビレット18本目製品長さ,ビレット19本目製品長,ビレット20本目製品長
